"from_user_name","to_user_name","in_reply_to_status_id","location"
"MonicaZambrann","elcomerciocom",1.33848646512747E+018,"Ecuador"
"An1taGarc1a","CarmenRivadene1",1.33848692642122E+018,"Ecuador"
"Marta109go","Rebelde2020Mai",1.33790176400003E+018,"Machala, Ecuador"
"Jesus67msr","noyitacom",1.33817790562561E+018,"Machala, Ecuador"
"F3rnandoJos3_","socialholico",1.33849581159707E+018,"Ecuador"
"MateoMarcano","Lizz2288",1.33849746054994E+018,"Ecuador"
"Maria_Dan46","AnaHerreraGomez",1.3384971258948E+018,"Ecuador"
"Maf3rsita_","marcelaholguin",1.33849769358958E+018,"Ecuador"
"fdecovilla","lahistoriaec",1.33462146923038E+018,"Manabi, Ecuador"
"Mariaa_M_83","EsperanzaViva20",1.33848786072333E+018,"Ecuador"
"MilagritosM_","marcelaguinaga",1.33848239702587E+018,"Ecuador"
"OsmelMaita","LilianaDuranA",1.33850462730265E+018,"Ecuador"
"Mor1ri","cesaraguirre6",1.33822284869188E+018,"Machala, Ecuador"
"Estefan9Her","euroglobalnet",1.33787710200842E+018,"Manabi, Ecuador"
"Claudia22fa","Paovercoutere",1.33814260137611E+018,"Manabi, Ecuador"
"DiegomMartinezd","EcuadorVideo1",1.33844440960883E+018,"Ecuador"
"Vicentaodj","FiscaliaEcuador",1.33849927472474E+018,"Ecuador"
"Carmenadrade","laurizamariamac",1.33850967628409E+018,"Ecuador"
"Marisol808yu","MiryanSego",1.33851102057118E+018,"Ecuador"
"glaydsczu73","UnesEsmeraldas",1.33850980384133E+018,"Ecuador"
"glaydsczu73","UNESECUADOR",1.33699177510222E+018,"Ecuador"
"Marisol808yu","almeidamario55",1.338509930312E+018,"Ecuador"
"glaydsczu73","cendemocratico",1.33829196035702E+018,"Ecuador"
"angelicaguznn7","JavierG10215460",1.33851259351471E+018,"Ecuador"
"rosaliarpz55","Rc1Tuiteros",1.33832662284024E+018,"Ecuador"
"angelicaguznn7","AlexisSanchezEC",1.33851136732267E+018,"Ecuador"
"tatianapalaciof","Deisy22898720",1.33851120111918E+018,"Ecuador"
"JosAlejo90","TCE_Ecuador",1.33851147264166E+018,"Ecuador"
"tatianapalaciof","almeidamario55",1.33850891379326E+018,"Ecuador"
"Sr_JulioP","LEXKANDER",1.33829373360801E+018,"Ecuador"
"Andyzambrano06","enma_macas",1.33837139072301E+018,"Ecuador"
"GarciaSofiaale","UnesEsmeraldas",1.33850980384133E+018,"Ecuador"
"ivanaced","ErmelRosario",1.33785857171175E+018,"Ecuador"
"Marta109go","Rebelde2020Mai",1.33815339283796E+018,"Machala, Ecuador"
"Velez_Anita_","Danielsalcan88",1.33849992171292E+018,"Ecuador"
